,東京,東京,東京,大阪,大阪,大阪,福岡,福岡,福岡
年月,平均気温(℃),最高気温(℃),最低気温(℃),平均気温(℃),最高気温(℃),最低気温(℃),平均気温(℃),最高気温(℃),最低気温(℃)
2016年4月,15.4,26.8,5.1,16.6,27.5,5.5,16.8,26.3,9.2
2016年5月,20.2,30.9,11.9,21.2,30.7,11.7,20.8,30.6,10.4
2016年6月,22.4,33,14.2,23.3,32.3,14.4,23.6,32,15.9
2016年7月,25.4,36.7,19,28,36.3,21.8,28.3,35.8,22.9
2016年8月,27.1,37.7,21.3,29.5,38.1,20.8,29.3,37,18.8
2016年9月,24.4,33,17.6,25.8,34.8,19.2,25.1,33,20
2016年10月,18.7,32,9.6,20.3,31.2,10.5,21.3,32.8,13.8
2016年11月,11.4,20.8,0.3,13.4,21.6,6.4,14.5,22.8,5.9
2016年12月,8.9,20.2,0,9.4,21.2,1.6,10.5,20.6,2.6
2017年1月,5.8,19.5,-2.3,6.2,14.8,-0.8,7.4,19,-0.6
2017年2月,6.9,20.6,-1.6,6.3,17.8,-0.6,8.3,19.5,0.3
2017年3月,8.5,18.7,0,9.2,19.5,1.8,10.5,19.4,4.1
2017年4月,14.7,26.1,4.5,15.7,25.7,5,16.5,28.2,5.8
2017年5月,20,30.9,11.3,21.1,29.9,11.4,21,31,14.3
2017年6月,22,30.6,14.8,22.7,32.3,15.1,23.1,33.2,15.9
2017年7月,27.3,35,20.9,28.8,36.4,22.8,29.4,36.1,22.8
2017年8月,26.4,37.1,20,29.2,37.4,20.7,29.5,37.5,23.5
2017年9月,22.8,33.3,16,24.4,32.1,16.3,24.3,31.3,17
2017年10月,16.8,29,9.1,18.4,29,8.3,19.8,29.5,11
2017年11月,11.9,21.9,3.2,12.6,22.3,4.8,13.6,22.8,4.4
2017年12月,6.6,16,-0.2,7,14.5,0.4,7.4,16,0.8
2018年1月,4.7,16,-4,5,14.9,-2.5,5.7,18.6,-0.4
2018年2月,5.4,15.1,-1.8,5.3,17.1,-1.3,6.2,16.8,-1.8
2018年3月,11.5,24.2,1.7,11.5,23.7,1.7,11.9,23,3
2018年4月,17,28.3,5.5,16.9,25.9,6.1,17.1,26.4,6.8
2018年5月,19.8,29,9,20.1,29.8,9.7,20.8,31.6,10.4
2018年6月,22.4,32.9,14.2,23.4,33.6,15.8,23.7,31.7,16.6
2018年7月,28.3,39,19.1,29.5,38,21.7,28.7,38.3,20.8
2018年8月,28.1,37.3,18.3,29.7,37.6,19.9,30,38.1,23.7
2018年9月,22.9,33,14.1,24.1,34.1,16.3,24.8,34.8,17.5
2018年10月,19.1,32.3,11.6,19.7,31.3,11.4,19.1,30.2,11.4
2018年11月,14,22.8,5.8,14.6,23.8,5.6,14.3,23.5,4
2018年12月,8.3,23.4,-0.7,9.4,24.5,1.8,10.2,26,2.3
2019年1月,5.6,14,-1.2,6.5,12.7,0.7,8,14.8,0.6
2019年2月,7.2,19.5,-1.2,7.8,16.3,1,9.4,22.7,1.8
2019年3月,10.6,23.9,1.1,10.6,20,2.5,11.9,22.8,4.8
2019年4月,13.6,25.6,2.3,14.6,27.6,4.2,15.4,24.8,6.5
2019年5月,20,32.6,7.9,21,32.4,8.7,21.1,32.2,10.1
2019年6月,21.8,32.3,13.9,23.7,31.8,17.5,23.4,32.1,17.6
2019年7月,24.1,34.6,17.7,26.5,35.4,20.7,26.4,35,20.4
2019年8月,28.4,35.6,20.7,29.1,37.5,21.7,28,37.6,18.7
2019年9月,25.1,36.2,17.1,26.6,35.7,16.9,25.9,34.8,16.8
2019年10月,19.4,30.3,12.1,20.7,33.1,12.8,20.5,31.8,11.7
2019年11月,13.1,23.9,1.6,14.2,24.5,4.5,14.9,23.8,6.4
2019年12月,8.5,18.9,2.2,9.5,17.1,3.7,10.3,19.6,3.1
2020年1月,7.1,18.6,0.6,8.6,19.1,2.5,9.5,19.5,1.6
2020年2月,8.3,18.2,-2.1,8,18.3,-0.1,9.7,21.3,1.7
2020年3月,10.7,24.6,0.7,11.4,22,2.1,12.4,23.8,2.5
2020年4月,12.8,24.2,5.3,13.7,24.1,6.2,14.1,25.7,6.1
2020年5月,19.5,28.7,10.7,20.8,29.7,12.5,20.4,29,13.3
2020年6月,23.2,32.6,17.1,24.9,32.9,17.8,24.9,33.8,17.5
2020年7月,24.3,32.5,17.4,26,34.4,19.5,25.5,34.6,19.8
2020年8月,29.1,37.3,21.8,30.7,38.6,24.4,30.2,38,25.2
2020年9月,24.2,35.1,14.7,25.8,35.9,17.9,24.5,37.1,16.2
2020年10月,17.5,26.7,9.2,18.7,27.8,9.4,19.4,28.4,10.2
2020年11月,14,24.9,5.2,14.7,26.6,7,15.3,26,7.2
2020年12月,7.7,17.2,-0.6,8.7,17,1.3,8.5,16.7,1
2021年1月,5.4,18.7,-2.4,6.2,19,-1.5,7,20.1,-2.2
