年月,青森（平均気温）,青森（最高気温）,青森（最低気温）,旭川（平均気温）,旭川（最高気温）,旭川（最低気温）
2018年12月,1.2,18.6,-5.9,-3.6,8.1,-13.5
2019年1月,-0.6,7.7,-7,-6.8,2.2,-21.1
2019年2月,0,10.7,-8.3,-5.8,5.1,-19.7
2019年3月,3.8,18.3,-4.1,-0.5,11.9,-12.4
2019年4月,8.5,25.6,-1.9,5.5,24.6,-7.2
2019年5月,15.8,33.6,5,14.7,34.3,1.2
2019年6月,18.1,29.2,10.4,17.3,28.4,8.4
2019年7月,22.1,33.5,12.3,22,32,13.3
2019年8月,24.8,35.5,16,21,33.3,13.3
2019年9月,21.2,32.5,10.9,16.8,33.3,3.3
2019年10月,15.1,27.6,4.6,10.2,25.9,-0.6
2019年11月,6.3,16.6,-3.7,1.2,14.8,-8.9
2019年12月,2,14.3,-6,-3.8,7.4,-14.8
2020年1月,0.9,8.3,-5.7,-6.9,1.7,-20
2020年2月,1.2,10.9,-6.9,-5.8,9.4,-25.7
2020年3月,5.1,18.8,-1.4,0.6,14.8,-11.3
2020年4月,7.8,20.2,0.1,4.8,20.2,-5.4
2020年5月,14.4,30.1,5.6,12.9,27.9,0.7
2020年6月,19.3,32.1,11.9,17.5,29.1,8.4
2020年7月,21.2,29.2,14.4,21.1,32.1,13.8
2020年8月,25.2,34.4,18.7,22.2,34.6,9.8
2020年9月,21.3,35.7,10.5,18.3,32.9,6.1
2020年10月,13.7,25.8,4.1,10.2,21,-0.3
2020年11月,8,24.1,0.3,3.9,17.6,-5.1
2020年12月,0.6,9.4,-7.4,-4.3,4.5,-24
2021年1月,-1.9,7.2,-7.6,-8.2,5.5,-22.5
